Institution Name,City,State,ZIP Code,Cluster,In-State Tuition,Out-of-State Tuition,Total Cost ($),% Receiving Pell Grants,% Receiving Federal Loans,Graduation Rate (4-Year),3-Year Default Rate,Latitude,Longitude
Feather River Community College District,Quincy,CA,95971,"Middle-Tier, Mixed-Aid Institutions",1465.0,9925.0,16502.0,0.2031,0.0632,0.4688,0.0,39.92895,-120.91608
Foothill College,Los Altos Hills,CA,94022,"Middle-Tier, Mixed-Aid Institutions",1565.0,12320.0,15772.0,0.0843,0.0238,0.6,0.0,37.35534,-122.14494
Fresno Pacific University,Fresno,CA,93702,"High-Risk, High-Aid Institutions",35558.0,35558.0,42673.0,0.5872,0.4725,0.5594,0.0,36.73942,-119.75422
Glendale Community College,Glendale,CA,91208,"Middle-Tier, Mixed-Aid Institutions",1181.0,8381.0,15802.0,0.353,0.0269,,0.0,34.19333,-118.23839
Harvey Mudd College,Claremont,CA,91711,"Elite, Low-Aid Institutions",66255.0,66255.0,84896.0,0.141,0.3482,0.9375,0.0,34.12836,-117.71523
California State Polytechnic University-Humboldt,Arcata,CA,95521,"Middle-Tier, Mixed-Aid Institutions",7913.0,19793.0,24412.0,0.4571,0.3708,0.4663,0.0,40.84586,-124.04745
Humphreys University-Stockton and Modesto Campuses,Stockton,CA,95207,"High-Risk, High-Aid Institutions",14760.0,14760.0,20286.0,0.5535,0.5912,0.5,0.0,38.00242,-121.325
Life Pacific University,San Dimas,CA,91773,"High-Risk, High-Aid Institutions",20462.0,20462.0,33193.0,0.4861,0.6171,0.5682,0.0,34.1072,-117.80928
University of La Verne,La Verne,CA,91750,"Elite, Low-Aid Institutions",47000.0,47000.0,61564.0,0.4754,0.5733,0.6545,0.0,34.14927,-117.76647
Laguna College of Art and Design,Laguna Beach,CA,92651,"Elite, Low-Aid Institutions",35650.0,35650.0,56183.0,0.3141,0.465,0.6304,0.0,33.56535,-117.77399
La Sierra University,Riverside,CA,92505,"High-Risk, High-Aid Institutions",35910.0,35910.0,49365.0,0.4735,0.6128,0.6806,0.0,33.92663,-117.4928
The Master's University and Seminary,Santa Clarita,CA,91321,"Elite, Low-Aid Institutions",36930.0,36930.0,48682.0,0.1938,0.3841,0.6375,0.0,34.36479,-118.4922
Loyola Marymount University,Los Angeles,CA,90045,"Elite, Low-Aid Institutions",58974.0,58974.0,75867.0,0.1303,0.3037,0.7978,0.0,33.95302,-118.40028
Menlo College,Atherton,CA,94027,"Elite, Low-Aid Institutions",51070.0,51070.0,69879.0,0.2938,0.385,0.5133,0.0,37.45399,-122.20313
MiraCosta College,Oceanside,CA,92056,"Middle-Tier, Mixed-Aid Institutions",1152.0,9120.0,15713.0,0.2724,0.0217,0.411,0.0,33.20197,-117.28939
Mount Saint Mary's University,Los Angeles,CA,90049,"High-Risk, High-Aid Institutions",48132.0,48132.0,64637.0,0.5515,0.6906,0.5342,0.0,34.08749,-118.48976
Musicians Institute,Hollywood,CA,90028,"Middle-Tier, Mixed-Aid Institutions",28400.0,28400.0,41795.0,0.1769,0.2224,0.4596,0.0,34.09982,-118.3268
National University,San Diego,CA,92123,"Middle-Tier, Mixed-Aid Institutions",13320.0,13320.0,37116.0,0.2553,0.2279,0.5,0.0,32.80958,-117.13419
Newschool of Architecture and Design,San Diego,CA,92101,"High-Risk, High-Aid Institutions",30291.0,30291.0,57642.0,0.4629,0.6245,0.5094,0.0,32.7162,-117.18589
Occidental College,Los Angeles,CA,90041,"Elite, Low-Aid Institutions",63446.0,63446.0,80636.0,0.1595,0.3875,0.8511,0.0,34.13749,-118.20746
Otis College of Art and Design,Los Angeles,CA,90045,"Elite, Low-Aid Institutions",55513.0,55513.0,71880.0,0.3068,0.418,0.6059,0.0,33.95302,-118.40028
Hope International University,Fullerton,CA,92831,"High-Risk, High-Aid Institutions",36250.0,36250.0,51153.0,0.4288,0.6034,0.4565,0.0,33.8795,-117.89607
Pacific Union College,Angwin,CA,94508,"High-Risk, High-Aid Institutions",35214.0,35214.0,47244.0,0.3337,0.5932,0.5147,0.0,38.57909,-122.44451
University of the Pacific,Stockton,CA,95211,"Elite, Low-Aid Institutions",55340.0,55340.0,68173.0,0.343,0.4274,0.6782,0.0,37.98078,-121.31198
Pepperdine University,Malibu,CA,90263,"Elite, Low-Aid Institutions",66742.0,66742.0,85202.0,0.1961,0.3842,0.8467,0.0,34.03919,-118.70809
Pitzer College,Claremont,CA,91711,"Elite, Low-Aid Institutions",62692.0,62692.0,82832.0,0.1015,0.217,0.8321,0.0,34.12836,-117.71523
Point Loma Nazarene University,San Diego,CA,92106,"Elite, Low-Aid Institutions",43550.0,43550.0,56664.0,0.2273,0.4981,0.7379,0.0,32.71334,-117.23617
Pomona College,Claremont,CA,91711,"Elite, Low-Aid Institutions",62326.0,62326.0,81196.0,0.1853,0.0793,0.9319,0.0,34.12836,-117.71523
Santa Ana College,Santa Ana,CA,92706,"Middle-Tier, Mixed-Aid Institutions",1180.0,9460.0,11848.0,0.1608,0.0073,0.3151,0.0,33.76602,-117.88174
University of Redlands,Redlands,CA,92373,"Elite, Low-Aid Institutions",57614.0,57614.0,70233.0,0.3511,0.5664,0.7068,0.0,34.00648,-117.15351
Rio Hondo College,Whittier,CA,90601,"Middle-Tier, Mixed-Aid Institutions",1388.0,9884.0,19308.0,0.2385,0.0048,0.2713,0.0,34.0078,-118.03287
San Diego Mesa College,San Diego,CA,92111,"Middle-Tier, Mixed-Aid Institutions",1150.0,9094.0,12964.0,0.1556,0.0203,0.3375,0.0,32.8065,-117.16897
