INSTNM,CITY,STABBR,ZIP,CONTROL,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,NPT4_PUB,NPT4_PRIV,TUITIONFEE_PROG,PCTPELL,PCTFLOAN,DEBT_MDN,GRAD_DEBT_MDN_SUPP,ADM_RATE,SAT_AVG,AVGFACSAL,UGDS,C150_4,RET_FT4,CDR3,MD_EARN_WNE_P10
Wheeling University,Wheeling,WV,26003,2,29475.0,29475.0,41265.0,,19040.0,,0.2524,0.5596,15375,25125,0.7518,,4198.0,567.0,0.3204,0.6552,0.0,57949.0
Wood County Technical Center-Practical Nursing,Parkersburg,WV,26101,1,,,,,,4255.0,0.8,0.0,PS,PS,0.8333,,,28.0,,,,40547.0
VICI Beauty School,Greenfield,WI,53228,3,,,,,12721.0,19138.0,0.4837,0.5598,6333,6333,,,,104.0,,,0.0,32393.0
Alverno College,Milwaukee,WI,53234-3922,2,32794.0,32794.0,44163.0,,16722.0,,0.4911,0.5914,22000,27000,0.931,,6253.0,724.0,0.5051,0.7863,0.0,53145.0
Madison Area Technical College,Madison,WI,53704-2599,1,4780.0,7027.0,17215.0,12392.0,,,0.1906,0.1603,8728,14060,,,11078.0,9273.0,0.2626,,0.0,45413.0
Bellin College,Green Bay,WI,54311,2,28211.0,28211.0,32000.0,,27313.0,,0.1332,0.3925,15000,18000,1.0,,7875.0,338.0,0.7429,0.9111,0.0,76222.0
Beloit College,Beloit,WI,53511-5595,2,58554.0,58554.0,68653.0,,21924.0,,0.2946,0.5384,22773,25738,0.5736,1318.0,7473.0,898.0,0.6718,0.8621,0.0,53260.0
Blackhawk Technical College,Janesville,WI,53547-5009,1,4170.0,5927.0,15114.0,10712.0,,,0.3647,0.2739,5250,9550,,,7776.0,2457.0,,,0.0,41620.0
Carroll University,Waukesha,WI,53186,2,37230.0,37230.0,49935.0,,24362.0,,0.2165,0.6135,22000,27000,0.5841,1209.0,8526.0,2525.0,0.696,0.7889,0.0,58009.0
Carthage College,Kenosha,WI,53140-1994,2,36500.0,36500.0,47980.0,,24813.0,,0.2577,0.8333,19500,26000,0.8415,1113.0,8523.0,2628.0,0.6051,0.8164,0.0,56950.0
Concordia University-Wisconsin,Mequon,WI,53097-2402,2,34250.0,34250.0,51718.0,,26067.0,,0.2247,0.4629,19500,25750,0.6753,1250.0,7655.0,2310.0,0.6431,0.7845,0.0,56075.0
Edgewood College,Madison,WI,53711-1997,2,34850.0,34850.0,48450.0,,25634.0,,0.2344,0.5738,19000,24424,0.9452,,6990.0,1104.0,0.6738,0.749,0.0,59728.0
Fox Valley Technical College,Appleton,WI,54912-2277,1,4916.0,7109.0,15647.0,10910.0,,,0.1183,0.1065,5834,10402,,,9754.0,6004.0,,,0.0,45684.0
